X,Y,Day
416324.9702669903,6729249.979368932,2
318585.15853658534,6812556.932926829,1
286386.0510752688,7020309.73655914,1
299456.4,7015045.342465754,4
448286.6493506493,7387432.2532467535,5
445029.78328173375,7277992.386996904,4
247367.03112033196,6723653.875518672,4
473362.9856770833,7123424.587239583,2
332840.01017675415,6742385.371719336,7
481282.24324324325,7151898.280780781,3
445113.7507598784,7296176.440729483,1
474767.3232514178,6800898.586011342,4
527231.2488479263,6902472.764976959,7
374689.9206266319,6714097.0386422975,3
392694.5594405594,7148769.015734266,7
465462.58025830257,7035544.3570110705,5
271035.35,6807374.025806451,2
270686.1724137931,6815503.977989729,5
305933.1204819277,6883012.830321285,3
407595.89476923074,6711823.576615385,5
240447.84267912773,6746549.204049844,1
559688.1887905605,6988434.946902655,4
290028.6380789022,6825014.001715266,4
571566.6906906907,7003524.177177177,1
429262.4552529183,7025760.119649805,6
457570.69029850746,6902431.201492538,1
480569.7338501292,6754169.891472869,1
347677.67608897126,6742866.769230769,6
381859.2763157895,6685853.280364373,1
384966.17914691946,6689535.424644549,4
