k,value
2,4.2191518810435185E15
3,2.6564518431798095E15
4,1.9574705587857818E15
5,1.6980948765596518E15
6,1.4788673640888768E15
7,1.3440485545237035E15
8,1.0910005985964215E15
9,9.613169241567579E14
10,1.1169393428335586E15
11,6.67656286091651E14
12,6.117508865753505E14
13,7.412763193358615E14
14,9.975550628584958E14
15,4.823314576515893E14
16,4.9864088495308575E14
17,4.8292441399244025E14
18,4.9690544712450744E14
19,4.862593843360674E14
20,4.773647305177001E14
21,3.6646525237853756E14
22,3.7518271828152856E14
23,3.638093393169388E14
24,3.469097257649476E14
25,3.3466279070800375E14
26,3.306953692538536E14
27,3.038478556917767E14
28,2.7884242365434397E14
29,2.8057035278643838E14
30,2.480914913239916E14
31,2.4976324351435603E14
32,2.4588633892912766E14
33,2.204739334993918E14
34,2.349234898497722E14
35,2.1461411723447553E14
36,1.9037674407956922E14
37,1.9401182582876922E14
38,2.014258170355765E14
39,2.586013241700122E14
40,1.5484858453670228E14
41,2.1612976635591644E14
42,1.754565220934561E14
43,1.721557817565427E14
44,1.6041036830284522E14
45,1.96748656742877E14
46,1.5434460896422234E14
47,1.5719227519295956E14
48,1.5669586477974644E14
49,1.3693090685201225E14
50,1.5535109113234556E14
51,1.595448163431485E14
52,1.3716298744325723E14
53,1.450404367737815E14
54,1.232701513808556E14
55,1.3512030709990694E14
56,1.288596252199975E14
57,1.207550779577872E14
58,1.2631310677950152E14
59,1.1482364191588053E14
60,1.0903144656152548E14
